id,title,author,text,label
0,"NASA James Webb Space Telescope Reveals Ancient Galaxies Formed After Big Bang","Dr. Sarah Jenkins","Astronomers using the James Webb Space Telescope have discovered an unprecedented cluster of massive galaxies dating back to within 400 million years of the Big Bang. These observations challenge existing cosmological models of early universe structure formation and provide pristine spectroscopic confirmation of rapid stellar accretion. The peer-reviewed findings were published this week in the Astrophysical Journal following rigorous multi-institution validation.",0
1,"SHOCKING: Secret Miracle Herb Cures All Diseases Overnight Suppressed by Big Pharma","NaturalHealthTruths","A secret ancient root found in the remote mountains has been clinically proven to cure diabetes, cancer, and heart diseases in less than 24 hours. However, multinational pharmaceutical conglomerates and corrupt federal officials are violently suppressing this information to protect their trillion-dollar profits. Order your starter extract kit today before government agents seize this website forever!",1
2,"Federal Reserve Holds Benchmark Interest Rates Steady Amid Cooling Inflation Data","Marcus Vance, Financial Times","The Federal Reserve announced on Wednesday that it will maintain its benchmark interest rate within the current target range of 5.25% to 5.50%. Fed Chair Jerome Powell highlighted consistent deceleration in consumer price index growth while affirming that labor market resiliency remains balanced. Economists forecast potential measured rate adjustments later in the fiscal cycle contingent on upcoming quarterly employment statistics.",0
3,"Leaked Government Documents Prove Moon Is Hollow Alien Surveillance Outpost","CosmicFreedomPatriot","Uncensored classified military memos obtained by anonymous whistleblower hacktivists confirm that Apollo astronauts encountered extraterrestrial reconnaissance stations inside the moon's hollow core. Seismic resonance data recorded during lunar landings allegedly confirms metallic resonance signatures. Mainstream media networks are under strict gag orders to conceal humanity's impending orbital contact.",1
4,"Global Renewable Energy Capacity Grew by Record 50% in 2024, IEA Report Shows","Elena Rostova","A comprehensive report published by the International Energy Agency (IEA) reveals that global renewable power capacity additions expanded by nearly fifty percent over the past twelve months. The surge was driven primarily by rapid utility-scale photovoltaic deployment across China, the European Union, and North America. Clean energy transition investments outpaced fossil fuel infrastructure for the third consecutive fiscal year.",0
5,"5G Cellular Towers Are Activating Synthetic Microchips in Tap Water Supply","TruthSeekerEcho99","Investigative researchers have exposed that municipal water filtration facilities are dispersing microscopic nanotechnology particles that interface directly with sub-6GHz and millimeter-wave wireless networks. Citizens report electromagnetic vibrations and unexplained neural synchronization during high network traffic hours. Immediately construct faraday wraps for all home plumbing pipes!",1
6,"Breakthrough Quantum Computing Experiment Demonstrates Fault-Tolerant Logical Qubits","Dr. Alan Vance, MIT Review","Physicists and quantum computer scientists have achieved fault-tolerant quantum error correction using a 48-logical-qubit processor. The system demonstrated physical-to-logical error suppression ratios exceeding theoretical threshold expectations, marking a pivotal milestone toward practical quantum advantage in cryptographic analysis, material science simulations, and complex molecular modeling.",0
7,"Celebrity Doctor Admits Secret Elixir Melts 30 Pounds of Belly Fat in 3 Days Without Exercise","SlimBellyMiracle","Hollywood elites and A-list celebrities have been hiding an exotic tropical fruit peel enzyme that incinerates visceral fat cells while you sleep. No dietary restrictions or physical workouts required. Medical doctors are demanding this video be taken down immediately because it will destroy the fitness industry. Tap here to claim your complimentary discounted trial bottle!",1
8,"World Health Organization Expands Vaccination Initiative to Combat Measles Resurgence","Public Health Dispatch","The World Health Organization in coordination with UNICEF has initiated an emergency immunisation response across 14 vulnerable regions experiencing rising measles outbreaks. Health ministers emphasized that high vaccination coverage (at least 95% with two doses) is critical to preventing child morbidity and establishing herd immunity following post-pandemic routine immunization gaps.",0
9,"BREAKING: Banking Collapse Imminent Tomorrow as ATMs Across Country Shut Down Indefinitely","FinancialDoomsdayNow","Insiders within the central banking cartels have sounded the red alert. All national Automated Teller Machines and digital payment switches will be completely frozen starting at midnight to initiate global financial reset procedures. Empty your accounts immediately and convert all liquid currency into canned food and tactical supplies before martial law takes effect!",1
10,"European Space Agency Launches Hera Mission to Study Asteroid Deflection Dynamics","ESA Press Office","The European Space Agency's Hera spacecraft successfully lifted off on a SpaceX Falcon 9 rocket to conduct a detailed post-impact survey of the Dimorphos asteroid system. Following NASA's kinetic impactor test (DART), Hera will deploy dual CubeSats to map the target's internal composition, crater morphology, and gravitational field to refine planetary defense capabilities.",0
11,"Ancient Egyptian Pyramids Were Built as Wireless Power Generators by Time Travelers","HyperHistoryRevealed","Ground-penetrating radar scans prove that the Great Pyramid of Giza was never a tomb, but rather an electromagnetic power grid station engineered with piezoelectric granite that channeled zero-point wireless electricity worldwide. Ancient Egyptian hieroglyphs show clear diagrams of fluorescent light bulbs and anti-gravity hovercrafts built with future human technology.",1
12,"Semiconductor Fabricators Accelerate Transition to 2-Nanometer GAA Architecture","TechInquirer Daily","Leading microelectronics foundries including TSMC, Intel, and Samsung are commencing risk production for 2-nanometer gate-all-around (GAA) field-effect transistor architectures. The architectural shift from FinFET to nanosheet GAA offers up to 15 percent performance speed improvements and 30 percent reductions in power consumption for next-generation mobile and AI datacenters.",0
13,"Scientists Discover Lizard People Infiltrating High-Ranking Political Cabinets","DeepStateExpositor","Genetic sequencing of shed biological matter collected outside international summits reveals non-human reptilian chromatin markers. Renowned independent researchers claim cold-blooded humanoid entities have systematically replaced elected officials across western democracies to manipulate global climate legislation and raise atmospheric temperatures to reptilian comfort zones.",1
14,"Biomedical Clinical Trial Demonstrates Efficacy of mRNA Vaccine for Pancreatic Cancer","Oncology Research Annals","A Phase II clinical trial published in Nature Medicine indicates that personalized mRNA neoantigen vaccines significantly delayed recurrence in patients with surgically resected pancreatic ductal adenocarcinoma. The patient-specific vaccines stimulated robust polyfunctional T-cell responses against tumor-specific neoepitopes, opening a promising immunotherapy frontier.",0
15,"Drinking Bleach with Lemon Juice Cures All Viral Infections Instantly CDC Whistleblower","HolisticCuresTelegram","A high-ranking whistleblower who fled the CDC reveals that combining ordinary household bleach with organic lemon juice creates a miraculous alkaline compound that destroys all pathogens on contact. Mainstream hospitals keep patients sick to maximize billing cycles. Share this uncensored home protocol before social media algorithms delete it!",1
16,"International Maritime Organization Enforces Zero-Carbon Emission Corridors for Cargo Vessels","Maritime Logistics Review","The IMO has officially ratified strict decarbonization standards designating primary transatlantic and transpacific shipping routes as zero-emission operational corridors by 2030. Commercial freight carriers will be required to transition to green ammonia, hydrogen fuel cells, or advanced wind-assisted rotor propulsion systems to maintain port dockage compliance.",0
17,"Urgent: Secret Artificial Sun Launched in Desert Is Causing Global Heatwaves","WeatherTruthNetwork","Leaked thermal imaging satellite passes verify that a clandestine geoengineering syndicate has activated a multi-gigawatt artificial plasma sun in the Mojave Desert to accelerate global warming and justify biometric carbon rationing taxes. Corporate media outlets are fabricating climate change narratives to conceal the orbital energy beam array.",1
18,"Global Cybersecurity Consortium Disassembles Sophisticated State-Sponsored Botnet Infrastructure","CyberThreat Defense Wire","A coordinated cross-border law enforcement initiative coordinated by Europol, the FBI, and private threat intelligence researchers successfully severed command-and-control nodes powering a multinational modular botnet. The malicious network had hijacked over 1.2 million IoT edge routers to orchestrate credential stuffing and distributed denial-of-service incursions.",0
19,"NASA Admits Asteroid Apophis Will Directly Collide with Major Capital Next Tuesday","DoomsdayAlertsDaily","In an accidental live broadcast slip, high-ranking NASA astrophysicists confirmed that the 1,100-foot asteroid Apophis has veered catastrophically off trajectory and will make direct impact on London next Tuesday afternoon. Government officials have already retreated into subterranean mountain bunkers while refusing to issue public evacuation directives.",1
20,"Peer-Reviewed Study Confirms Mediterranean Diet Lowers Cardiovascular Mortality by 28 Percent","The Lancet Cardiovascular Health","A 12-year longitudinal study evaluating over 25,000 participants published in The Lancet confirms that sustained adherence to a traditional Mediterranean dietary regimen rich in extra-virgin olive oil, legumes, and unrefined grains correlates with a 28 percent reduction in primary adverse cardiovascular events compared to standard western diets.",0
